Living around Paya Lebar,Good Memories,Frequency of Visit,Visit Paya Lebar with,Current state-Social Offerings Rating,Current state-Openness Rating,Current state-Aesthetics/Amenities Rating,Current state-Cultural Heritage Rating,Love Playground,Good Memories of Food,Restricted by Security Guard,Accessible/Convenient,Green/Blue Spaces,Spacious/Openness for the Place,Convenient for Study/Working,Miss old Paya Lebar,Public Spaces are Loveable
3 to 5 Years,Yes,1-2/week,Friends,5,5,5,5,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
6 to 10 Years,Yes,Everyday,Family,3,3,5,3,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
0 to 2 Years,Yes,Everyday,Friends,2,4,3,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No
3 to 5 Years,No,Everyday,Friends,1,5,3,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No
3 to 5 Years,No,1-2/week,Family,2,5,2,3,Yes,Yes,Yes,Yes,No,No,No,Yes,No
3 to 5 Years,Yes,Everyday,Friends,4,3,4,5,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
0 to 2 Years,No,Everyday,Family,2,2,3.5,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No
more than 10 Years,No,Everyday,Friends,2,4,3,2,No,Yes,Yes,Yes,No,Yes,No,No,No
No,Yes,1-2/week,Alone,4,3,4,4,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
more than 10 Years,Yes,Everyday,Family,4,4,5,4,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
more than 10 Years,Yes,1-2/week,Family,4,4,4,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,3-6/week,Family,2,3,3,4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
3 to 5 Years,No,1-2/week,Friends,3,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3 to 5 Years,Yes,1-2/week,Family,3,3,3,4,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
3 to 5 Years,Yes,1-2/week,Family,2,3,4,3,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
more than 10 Years,Yes,1/ fortnight,Friends,2,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
more than 10 Years,Yes,1/ fortnight,Friends,4,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
more than 10 Years,Yes,1/ fortnight,Friends,4,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
more than 10 Years,No,1/ fortnight,Friends,4,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
more than 10 Years,No,1/ fortnight,Friends,1,2,3,4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
more than 10 Years,No,1/ fortnight,Friends,4,3,4,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
more than 10 Years,Yes,1/ fortnight,Friends,4,3,4,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
more than 10 Years,Yes,1/ fortnight,Friends,4,2,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
No,No,1-2/week,Alone,2,3,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,1-2/week,Alone,3,2,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3 to 5 Years,Yes,3-6/week,Family,2,3,4,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
3 to 5 Years,Yes,1/ fortnight,Alone,1,2,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3 to 5 Years,Yes,1-2/week,Family,2,3,4,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,1-2/week,Friends,2,3,4,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3 to 5 Years,Yes,1-2/week,Family,4,3,4,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0 to 2 Years,No,3-6/week,Working,3,3,3,3,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
No,No,1/ fortnight,Friends,3,2,3,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
No,Yes,3-6/week,Working,1,4,2,3,No,Yes,No,Yes,No,Yes,Yes,Yes,No
No,No,1/ fortnight,Friends,1,3,2,2,No,Yes,No,Yes,Yes,Yes,Yes,No,No
No,No,1/ fortnight,Friends,2,3,3,2,No,Yes,Yes,No,No,Yes,Yes,No,No
No,No,3-6/week,Colleagues,2,1,3,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,3-6/week,Colleagues,3,3,3,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,1-2/week,Family,3,2,1,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
0 to 2 Years,No,Everyday,Alone,1,4,2,3,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
No,Yes,Everyday,Friends,1,2,3,4,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
No,Yes,Everyday,Alone,3,2,3,1,No,Yes,No,Yes,No,Yes,Yes,Yes,No
more than 10 Years,Yes,3-6/week,Friends,3,3,4,2,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
6 to 10 Years,Yes,3-6/week,Friends,4,4,5,4,No,Yes,No,Yes,Yes,No,No,Yes,Yes
No,No,First time,Friends,3,5,3,1,No,No,Yes,Yes,Yes,Yes,No,No,No
0 to 2 Years,No,Everyday,Friends,3,4,3,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
0 to 2 Years,Yes,3-6/week,Family,3,3,3,3,Yes,No,No,Yes,No,Yes,No,No,No
No,No,1-2/week,Friends,2,3,4,1,No,Yes,Yes,Yes,No,Yes,No,No,No
No,No,1-2/week,Friends,2,3,5,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No
No,Yes,3-6/week,Colleagues,3,5,4,3,No,No,No,Yes,No,No,Yes,No,No
No,Yes,3-6/week,Colleagues,5,4,4,4,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
No,No,3-6/week,Colleagues,3,2,3,1,No,Yes,No,Yes,No,Yes,Yes,No,No
No,No,3-6/week,Colleagues,4,4,2,1,No,Yes,No,Yes,No,Yes,Yes,No,No
No,No,3-6/week,Colleagues,4,5,3,1,No,No,No,Yes,Yes,Yes,Yes,No,No
No,No,1-2/week,Friends,5,4,4,1,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
No,Yes,3-6/week,Colleagues,4,3,4,3,No,Yes,No,Yes,No,Yes,Yes,No,No
more than 10 Years,Yes,3-6/week,Colleagues,5,4,4,1,No,Yes,No,Yes,Yes,No,Yes,No,Yes
No,Yes,First time,Family,3,4,5,1,Yes,Yes,No,Yes,Yes,Yes,No,No,No
more than 10 Years,Yes,3-6/week,Family,3,4,4,1,Yes,No,No,Yes,Yes,Yes,No,No,Yes
3 to 5 Years,Yes,3-6/week,Family,4,4,5,2,Yes,No,No,Yes,Yes,Yes,No,No,Yes
more than 10 Years,No,3-6/week,Friends,4,3,5,1,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
0 to 2 Years,Yes,3-6/week,Family,4,4,5,2,Yes,No,No,Yes,Yes,Yes,No,No,Yes
No,No,3-6/week,Alone,3,5,4,3,No,Yes,No,Yes,No,Yes,Yes,No,No
3 to 5 Years,Yes,Everyday,Family,4,4,5,3,Yes,No,No,Yes,Yes,Yes,No,No,Yes
more than 10 Years,Yes,3-6/week,Friends,5,5,5,4,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
3 to 5 Years,Yes,Everyday,Colleagues,3,1,3,3,No,Yes,No,Yes,No,No,No,Yes,No
No,No,1-2/week,Family,3,3,3,2,Yes,Yes,No,Yes,No,No,No,Yes,No
No,Yes,3-6/week,Friends,3,5,5,1.5,No,Yes,No,Yes,No,Yes,Yes,No,No
No,Yes,3-6/week,Friends,3,5,5,2,No,Yes,No,Yes,No,Yes,Yes,No,Yes
No,Yes,3-6/week,Friends,3,5,5,2,No,Yes,No,Yes,No,Yes,Yes,No,Yes
No,Yes,1-2/week,Friends,3,2,4,1,No,Yes,No,Yes,No,Yes,Yes,No,No
No,Yes,1-2/week,Friends,3,4,3,1,No,Yes,No,Yes,No,Yes,No,No,No
No,Yes,1/ fortnight,Friends,2,4,4.5,4,No,Yes,No,Yes,No,Yes,No,No,No
No,Yes,1/ fortnight,Friends,3,3,3,3,No,Yes,No,Yes,No,Yes,No,No,No
No,No,1-2/week,Friends,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
more than 10 Years,Yes,Everyday,Family,5,4,3,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3 to 5 Years,Yes,Everyday,Family,5,4,5,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0 to 2 Years,Yes,3-6/week,Friends,5,4,4,4,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
3 to 5 Years,Yes,Everyday,Family,5,3,4,3,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
No,No,1-2/week,Friends,2,4,4,3,No,Yes,Yes,Yes,Yes,Yes,No,No,No
No,No,1-2/week,Friends,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
3 to 5 Years,Yes,Everyday,Family,5,5,5,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
6 to 10 Years,Yes,Everyday,Friends,4,5,5,3,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
No,Yes,Everyday,Alone,4,5,5,3,No,Yes,No,Yes,No,No,No,No,Yes
No,No,First time,Family,3,3,4,3,No,No,No,No,Yes,No,No,No,No
No,No,1-2/week,Friends,3,5,5,3,No,Yes,Yes,Yes,Yes,No,No,Yes,No
more than 10 Years,Yes,Everyday,Family,4,4,4,2,Yes,No,No,Yes,No,No,No,Yes,Yes
 more than 10 Years,Yes,3-6/week,Family,4,4,4,3,Yes,No,No,No,No,No,No,Yes,Yes
3 to 5 Years,Yes,1/ fortnight,Alone,4,3,3,3,No,Yes,No,Yes,No,No,No,Yes,Yes
3 to 5 Years,Yes,3-6/week,Colleagues,4,4,4,3,No,Yes,No,Yes,No,No,No,Yes,Yes
4 to 5 Years,No,Everyday,Alone,3,3,4,3,No,No,No,Yes,No,No,No,Yes,Yes
No,Yes,3-6/week,Friends,3,5,5,2,No,Yes,No,Yes,No,Yes,Yes,No,No
3 to 5 Years,Yes,Everyday,Family,5,4,5,3,Yes,No,No,Yes,Yes,Yes,No,No,Yes
